Time,RSSI
2026-4-15 15:41:58.783,-77.199996948242188
2026-4-15 15:41:58.792,-77
2026-4-15 15:41:58.804,-77
2026-4-15 15:41:58.813,-77
2026-4-15 15:41:58.825,-77
2026-4-15 15:41:58.834,-77
2026-4-15 15:41:58.844,-77
2026-4-15 15:41:58.854,-77
2026-4-15 15:41:58.864,-76.900001525878906
2026-4-15 15:41:58.875,-77
2026-4-15 15:41:58.886,-76.800003051757812
2026-4-15 15:41:58.897,-76.699996948242188
2026-4-15 15:41:58.906,-76.699996948242188
2026-4-15 15:41:58.914,-76.599998474121094
2026-4-15 15:41:58.925,-76.800003051757812
2026-4-15 15:41:58.945,-76.699996948242188
2026-4-15 15:41:58.947,-76.599998474121094
2026-4-15 15:41:58.955,-76.599998474121094
2026-4-15 15:41:58.976,-76.599998474121094
2026-4-15 15:41:58.978,-76.599998474121094
2026-4-15 15:41:58.986,-76.400001525878906
2026-4-15 15:41:58.996,-76.400001525878906
2026-4-15 15:41:59.011,-76.300003051757812
2026-4-15 15:41:59.016,-76.300003051757812
2026-4-15 15:41:59.029,-76.300003051757812
2026-4-15 15:41:59.038,-76.199996948242188
2026-4-15 15:41:59.048,-76.199996948242188
2026-4-15 15:41:59.059,-76.199996948242188
2026-4-15 15:41:59.068,-76
2026-4-15 15:41:59.078,-76
2026-4-15 15:41:59.091,-75.900001525878906
2026-4-15 15:41:59.104,-75.800003051757812
2026-4-15 15:41:59.108,-75.599998474121094
2026-4-15 15:41:59.120,-75.599998474121094
2026-4-15 15:41:59.129,-75.400001525878906
2026-4-15 15:41:59.140,-75.300003051757812
2026-4-15 15:41:59.150,-75.099998474121094
2026-4-15 15:41:59.161,-75
2026-4-15 15:41:59.172,-74.900001525878906
2026-4-15 15:41:59.183,-74.900001525878906
2026-4-15 15:41:59.190,-74.800003051757812
2026-4-15 15:41:59.199,-74.699996948242188
2026-4-15 15:41:59.210,-74.599998474121094
2026-4-15 15:41:59.221,-74.5
2026-4-15 15:41:59.231,-74.400001525878906
2026-4-15 15:41:59.246,-74.400001525878906
2026-4-15 15:41:59.254,-74.300003051757812
2026-4-15 15:41:59.262,-74.199996948242188
2026-4-15 15:41:59.271,-74.099998474121094
2026-4-15 15:41:59.281,-74.099998474121094
2026-4-15 15:41:59.291,-74.099998474121094
2026-4-15 15:41:59.303,-74
2026-4-15 15:41:59.312,-73.900001525878906
2026-4-15 15:41:59.324,-73.900001525878906
2026-4-15 15:41:59.333,-73.800003051757812
2026-4-15 15:41:59.347,-73.699996948242188
2026-4-15 15:41:59.353,-73.699996948242188
2026-4-15 15:41:59.365,-73.699996948242188
2026-4-15 15:41:59.374,-73.699996948242188
2026-4-15 15:41:59.384,-73.699996948242188
2026-4-15 15:41:59.395,-73.800003051757812
2026-4-15 15:41:59.405,-73.800003051757812
2026-4-15 15:41:59.416,-73.699996948242188
2026-4-15 15:41:59.424,-73.900001525878906
2026-4-15 15:41:59.434,-73.900001525878906
2026-4-15 15:41:59.447,-74
2026-4-15 15:41:59.455,-73.900001525878906
2026-4-15 15:41:59.466,-74
2026-4-15 15:41:59.476,-73.900001525878906
2026-4-15 15:41:59.485,-74
2026-4-15 15:41:59.495,-74
2026-4-15 15:41:59.505,-73.900001525878906
2026-4-15 15:41:59.518,-74
2026-4-15 15:41:59.526,-74
2026-4-15 15:41:59.537,-73.900001525878906
2026-4-15 15:41:59.548,-74
2026-4-15 15:41:59.557,-73.800003051757812
2026-4-15 15:41:59.567,-73.900001525878906
2026-4-15 15:41:59.577,-73.699996948242188
2026-4-15 15:41:59.594,-73.800003051757812
2026-4-15 15:41:59.598,-73.699996948242188
2026-4-15 15:41:59.608,-73.5
2026-4-15 15:41:59.619,-73.5
2026-4-15 15:41:59.629,-73.400001525878906
2026-4-15 15:41:59.638,-73.300003051757812
2026-4-15 15:41:59.649,-73.300003051757812
2026-4-15 15:41:59.657,-73.300003051757812
2026-4-15 15:41:59.670,-73.300003051757812
2026-4-15 15:41:59.681,-73.199996948242188
2026-4-15 15:41:59.690,-73.199996948242188
2026-4-15 15:41:59.700,-73.099998474121094
2026-4-15 15:41:59.710,-73
2026-4-15 15:41:59.719,-73
2026-4-15 15:41:59.731,-73
2026-4-15 15:41:59.741,-72.900001525878906
2026-4-15 15:41:59.750,-72.800003051757812
2026-4-15 15:41:59.760,-72.800003051757812
2026-4-15 15:41:59.770,-72.800003051757812
2026-4-15 15:41:59.782,-72.599998474121094
2026-4-15 15:41:59.790,-72.599998474121094
2026-4-15 15:41:59.802,-72.599998474121094
2026-4-15 15:41:59.812,-72.5
2026-4-15 15:41:59.822,-72.599998474121094
2026-4-15 15:41:59.832,-72.599998474121094
2026-4-15 15:41:59.843,-72.5
2026-4-15 15:41:59.852,-72.5
2026-4-15 15:41:59.863,-72.599998474121094
2026-4-15 15:41:59.872,-72.400001525878906
2026-4-15 15:41:59.882,-72.5
2026-4-15 15:41:59.893,-72.400001525878906
2026-4-15 15:41:59.903,-72.400001525878906
2026-4-15 15:41:59.913,-72.400001525878906
2026-4-15 15:41:59.923,-72.400001525878906
2026-4-15 15:41:59.935,-72.400001525878906
2026-4-15 15:41:59.944,-72.300003051757812
2026-4-15 15:41:59.953,-72.199996948242188
2026-4-15 15:41:59.963,-72.300003051757812
2026-4-15 15:41:59.975,-72.199996948242188
2026-4-15 15:41:59.992,-72.199996948242188
2026-4-15 15:41:59.995,-72
2026-4-15 15:42:00.006,-72
2026-4-15 15:42:00.059,-71.800003051757812
2026-4-15 15:42:00.061,-71.800003051757812
2026-4-15 15:42:00.064,-71.599998474121094
2026-4-15 15:42:00.066,-71.599998474121094
2026-4-15 15:42:00.069,-71.5
2026-4-15 15:42:00.075,-71.300003051757812
2026-4-15 15:42:00.079,-71.300003051757812
2026-4-15 15:42:00.153,-71.300003051757812
2026-4-15 15:42:00.155,-71.199996948242188
2026-4-15 15:42:00.157,-71.099998474121094
2026-4-15 15:42:00.160,-71.099998474121094
2026-4-15 15:42:00.161,-71.199996948242188
2026-4-15 15:42:00.164,-71.099998474121094
2026-4-15 15:42:00.167,-71
2026-4-15 15:42:00.170,-71
2026-4-15 15:42:00.171,-71
2026-4-15 15:42:00.212,-70.900001525878906
2026-4-15 15:42:00.226,-71
2026-4-15 15:42:00.228,-70.900001525878906
2026-4-15 15:42:00.231,-70.900001525878906
2026-4-15 15:42:00.234,-70.900001525878906
2026-4-15 15:42:00.269,-70.900001525878906
2026-4-15 15:42:00.270,-70.900001525878906
2026-4-15 15:42:00.274,-71
2026-4-15 15:42:00.275,-70.900001525878906
2026-4-15 15:42:00.278,-70.800003051757812
2026-4-15 15:42:00.281,-70.800003051757812
2026-4-15 15:42:00.289,-70.800003051757812
2026-4-15 15:42:00.343,-70.699996948242188
2026-4-15 15:42:00.344,-70.800003051757812
2026-4-15 15:42:00.346,-70.800003051757812
2026-4-15 15:42:00.350,-70.699996948242188
2026-4-15 15:42:00.352,-70.800003051757812
2026-4-15 15:42:00.354,-70.699996948242188
2026-4-15 15:42:00.361,-70.800003051757812
2026-4-15 15:42:00.385,-70.800003051757812
2026-4-15 15:42:00.388,-70.800003051757812
2026-4-15 15:42:00.393,-70.800003051757812
2026-4-15 15:42:00.401,-70.699996948242188
2026-4-15 15:42:00.411,-70.800003051757812
2026-4-15 15:42:00.421,-70.800003051757812
2026-4-15 15:42:00.432,-70.800003051757812
2026-4-15 15:42:00.441,-70.800003051757812
2026-4-15 15:42:00.457,-70.800003051757812
2026-4-15 15:42:00.464,-70.800003051757812
2026-4-15 15:42:00.474,-70.800003051757812
2026-4-15 15:42:00.489,-70.800003051757812
2026-4-15 15:42:00.493,-70.900001525878906
2026-4-15 15:42:00.504,-70.800003051757812
2026-4-15 15:42:00.513,-70.900001525878906
2026-4-15 15:42:00.523,-70.900001525878906
2026-4-15 15:42:00.533,-70.900001525878906
2026-4-15 15:42:00.544,-70.800003051757812
2026-4-15 15:42:00.556,-70.900001525878906
2026-4-15 15:42:00.566,-70.900001525878906
2026-4-15 15:42:00.574,-71
2026-4-15 15:42:00.587,-70.900001525878906
2026-4-15 15:42:00.595,-70.900001525878906
2026-4-15 15:42:00.607,-71
2026-4-15 15:42:00.617,-71
2026-4-15 15:42:00.626,-71
2026-4-15 15:42:00.634,-71
2026-4-15 15:42:00.646,-70.900001525878906
2026-4-15 15:42:00.656,-70.900001525878906
2026-4-15 15:42:00.666,-70.900001525878906
2026-4-15 15:42:00.676,-70.900001525878906
2026-4-15 15:42:00.686,-70.900001525878906
2026-4-15 15:42:00.696,-70.900001525878906
2026-4-15 15:42:00.706,-70.900001525878906
2026-4-15 15:42:00.716,-70.900001525878906
2026-4-15 15:42:00.727,-70.900001525878906
2026-4-15 15:42:00.737,-70.900001525878906
2026-4-15 15:42:00.746,-71
2026-4-15 15:42:00.757,-71
2026-4-15 15:42:00.767,-70.900001525878906
2026-4-15 15:42:00.777,-70.900001525878906
2026-4-15 15:42:00.787,-70.900001525878906
2026-4-15 15:42:00.799,-70.900001525878906
2026-4-15 15:42:00.810,-70.800003051757812
2026-4-15 15:42:00.819,-70.900001525878906
2026-4-15 15:42:00.829,-70.800003051757812
2026-4-15 15:42:00.839,-70.800003051757812
2026-4-15 15:42:00.852,-70.699996948242188
2026-4-15 15:42:00.859,-70.800003051757812
2026-4-15 15:42:00.872,-70.800003051757812
2026-4-15 15:42:00.882,-70.800003051757812
2026-4-15 15:42:00.891,-70.800003051757812
2026-4-15 15:42:00.902,-70.800003051757812
2026-4-15 15:42:00.912,-70.699996948242188
2026-4-15 15:42:00.921,-70.699996948242188
2026-4-15 15:42:00.930,-70.699996948242188
2026-4-15 15:42:00.942,-70.699996948242188
2026-4-15 15:42:00.951,-70.699996948242188
2026-4-15 15:42:00.959,-70.699996948242188
2026-4-15 15:42:00.970,-70.800003051757812
2026-4-15 15:42:00.981,-70.699996948242188
2026-4-15 15:42:00.994,-70.800003051757812
2026-4-15 15:42:01.001,-70.800003051757812
2026-4-15 15:42:01.012,-70.800003051757812
2026-4-15 15:42:01.020,-70.900001525878906
2026-4-15 15:42:01.038,-70.800003051757812
2026-4-15 15:42:01.044,-70.800003051757812
2026-4-15 15:42:01.052,-70.900001525878906
2026-4-15 15:42:01.064,-70.900001525878906
2026-4-15 15:42:01.072,-70.900001525878906
2026-4-15 15:42:01.083,-70.800003051757812
2026-4-15 15:42:01.093,-70.900001525878906
2026-4-15 15:42:01.103,-70.900001525878906
2026-4-15 15:42:01.111,-70.900001525878906
2026-4-15 15:42:01.123,-70.900001525878906
2026-4-15 15:42:01.135,-70.900001525878906
2026-4-15 15:42:01.145,-70.900001525878906
2026-4-15 15:42:01.155,-70.900001525878906
2026-4-15 15:42:01.165,-70.900001525878906
2026-4-15 15:42:01.176,-70.900001525878906
2026-4-15 15:42:01.185,-71
2026-4-15 15:42:01.193,-71
2026-4-15 15:42:01.205,-71
2026-4-15 15:42:01.217,-71
2026-4-15 15:42:01.225,-71
2026-4-15 15:42:01.234,-70.900001525878906
2026-4-15 15:42:01.244,-70.900001525878906
2026-4-15 15:42:01.258,-70.900001525878906
2026-4-15 15:42:01.266,-70.900001525878906
2026-4-15 15:42:01.279,-70.900001525878906
2026-4-15 15:42:01.309,-71
2026-4-15 15:42:01.311,-70.900001525878906
2026-4-15 15:42:01.316,-70.900001525878906
2026-4-15 15:42:01.318,-70.900001525878906
2026-4-15 15:42:01.326,-70.900001525878906
2026-4-15 15:42:01.336,-70.900001525878906
2026-4-15 15:42:01.348,-70.900001525878906
2026-4-15 15:42:01.360,-70.900001525878906
2026-4-15 15:42:01.368,-70.900001525878906
2026-4-15 15:42:01.377,-70.900001525878906
2026-4-15 15:42:01.389,-70.900001525878906
2026-4-15 15:42:01.400,-70.900001525878906
2026-4-15 15:42:01.409,-70.900001525878906
2026-4-15 15:42:01.418,-70.900001525878906
2026-4-15 15:42:01.432,-70.900001525878906
2026-4-15 15:42:01.438,-70.900001525878906
2026-4-15 15:42:01.453,-70.900001525878906
2026-4-15 15:42:01.459,-70.900001525878906
2026-4-15 15:42:01.469,-70.900001525878906
2026-4-15 15:42:01.479,-70.900001525878906
2026-4-15 15:42:01.489,-70.900001525878906
2026-4-15 15:42:01.506,-70.900001525878906
2026-4-15 15:42:01.511,-70.900001525878906
2026-4-15 15:42:01.521,-70.900001525878906
2026-4-15 15:42:01.532,-71
2026-4-15 15:42:01.543,-70.900001525878906
2026-4-15 15:42:01.551,-70.900001525878906
2026-4-15 15:42:01.561,-70.900001525878906
2026-4-15 15:42:01.572,-70.800003051757812
2026-4-15 15:42:01.582,-70.800003051757812
2026-4-15 15:42:01.591,-70.800003051757812
2026-4-15 15:42:01.601,-70.800003051757812
2026-4-15 15:42:01.612,-70.800003051757812
2026-4-15 15:42:01.622,-70.800003051757812
2026-4-15 15:42:01.631,-70.699996948242188
2026-4-15 15:42:01.650,-70.699996948242188
2026-4-15 15:42:01.653,-70.699996948242188
